aro_accession	gene_name	card_short_name	gene_family	resistance_mechanism	drug_class_raw	canonical_class
ARO:3003608	OXA-452	OXA-452	OXA beta-lactamase;OXA-61-like beta-lactamase	antibiotic inactivation	penicillin beta-lactam	penicillin antibiotic
ARO:3003609	OXA-453	OXA-453	OXA beta-lactamase;OXA-61-like beta-lactamase	antibiotic inactivation	penicillin beta-lactam	penicillin antibiotic
ARO:3003610	OXA-454	OXA-454	OXA beta-lactamase;OXA-10-like beta-lactamase	antibiotic inactivation	cephalosporin	cephalosporin
ARO:3003610	OXA-454	OXA-454	OXA beta-lactamase;OXA-10-like beta-lactamase	antibiotic inactivation	penicillin beta-lactam	penicillin antibiotic
ARO:3003611	OXA-455	OXA-455	OXA beta-lactamase;OXA-364-like beta-lactamase	antibiotic inactivation	penicillin beta-lactam	penicillin antibiotic
ARO:3003613	OXA-457	OXA-457	OXA beta-lactamase	antibiotic inactivation	penicillin beta-lactam	penicillin antibiotic
ARO:3003614	OXA-458	OXA-458	OXA beta-lactamase	antibiotic inactivation	penicillin beta-lactam	penicillin antibiotic
ARO:3003615	OXA-459	OXA-459	OXA beta-lactamase	antibiotic inactivation	penicillin beta-lactam	penicillin antibiotic
ARO:3001797	OXA-46	OXA-46	OXA beta-lactamase;OXA-46-like beta-lactamase	antibiotic inactivation	penicillin beta-lactam	penicillin antibiotic
ARO:3003616	OXA-460	OXA-460	OXA beta-lactamase;OXA-61-like beta-lactamase	antibiotic inactivation	penicillin beta-lactam	penicillin antibiotic
ARO:3003617	OXA-461	OXA-461	OXA beta-lactamase;OXA-61-like beta-lactamase	antibiotic inactivation	penicillin beta-lactam	penicillin antibiotic
ARO:3003620	OXA-464	OXA-464	OXA beta-lactamase	antibiotic inactivation	penicillin beta-lactam	penicillin antibiotic
ARO:3003621	OXA-465	OXA-465	OXA beta-lactamase;OXA-184-like beta-lactamase	antibiotic inactivation	penicillin beta-lactam	penicillin antibiotic
ARO:3003622	OXA-466	OXA-466	OXA beta-lactamase;OXA-184-like beta-lactamase	antibiotic inactivation	penicillin beta-lactam	penicillin antibiotic
ARO:3001781	OXA-47	OXA-47	OXA beta-lactamase;OXA-1-like beta-lactamase	antibiotic inactivation	cephalosporin	cephalosporin
ARO:3001781	OXA-47	OXA-47	OXA beta-lactamase;OXA-1-like beta-lactamase	antibiotic inactivation	penicillin beta-lactam	penicillin antibiotic
ARO:3003626	OXA-470	OXA-470	OXA beta-lactamase;OXA-63-like beta-lactamase	antibiotic inactivation	penicillin beta-lactam	penicillin antibiotic
ARO:3003627	OXA-471	OXA-471	OXA beta-lactamase;OXA-63-like beta-lactamase	antibiotic inactivation	penicillin beta-lactam	penicillin antibiotic
ARO:3003628	OXA-472	OXA-472	OXA beta-lactamase;OXA-63-like beta-lactamase	antibiotic inactivation	penicillin beta-lactam	penicillin antibiotic
ARO:3003629	OXA-473	OXA-473	OXA beta-lactamase;OXA-63-like beta-lactamase	antibiotic inactivation	penicillin beta-lactam	penicillin antibiotic
ARO:3003631	OXA-474	OXA-474	OXA beta-lactamase;OXA-63-like beta-lactamase	antibiotic inactivation	penicillin beta-lactam	penicillin antibiotic
ARO:3003632	OXA-475	OXA-475	OXA beta-lactamase;OXA-63-like beta-lactamase	antibiotic inactivation	penicillin beta-lactam	penicillin antibiotic
ARO:3003633	OXA-476	OXA-476	OXA beta-lactamase;OXA-63-like beta-lactamase	antibiotic inactivation	penicillin beta-lactam	penicillin antibiotic
ARO:3003634	OXA-477	OXA-477	OXA beta-lactamase;OXA-63-like beta-lactamase	antibiotic inactivation	penicillin beta-lactam	penicillin antibiotic
ARO:3003635	OXA-478	OXA-478	OXA beta-lactamase;OXA-63-like beta-lactamase	antibiotic inactivation	penicillin beta-lactam	penicillin antibiotic
ARO:3003636	OXA-479	OXA-479	OXA beta-lactamase;OXA-63-like beta-lactamase	antibiotic inactivation	penicillin beta-lactam	penicillin antibiotic
ARO:3001782	OXA-48	OXA-48	OXA beta-lactamase;OXA-48-like beta-lactamase	antibiotic inactivation	carbapenem	carbapenem
ARO:3001782	OXA-48	OXA-48	OXA beta-lactamase;OXA-48-like beta-lactamase	antibiotic inactivation	penicillin beta-lactam	penicillin antibiotic
ARO:3003637	OXA-480	OXA-480	OXA beta-lactamase;OXA-51-like beta-lactamase	antibiotic inactivation	carbapenem	carbapenem
ARO:3003637	OXA-480	OXA-480	OXA beta-lactamase;OXA-51-like beta-lactamase	antibiotic inactivation	penicillin beta-lactam	penicillin antibiotic
ARO:3003638	OXA-481	OXA-481	OXA beta-lactamase	antibiotic inactivation	penicillin beta-lactam	penicillin antibiotic
ARO:3003639	OXA-482	OXA-482	OXA beta-lactamase;OXA-23-like beta-lactamase	antibiotic inactivation	carbapenem	carbapenem
ARO:3003639	OXA-482	OXA-482	OXA beta-lactamase;OXA-23-like beta-lactamase	antibiotic inactivation	penicillin beta-lactam	penicillin antibiotic
ARO:3003640	OXA-483	OXA-483	OXA beta-lactamase;OXA-23-like beta-lactamase	antibiotic inactivation	carbapenem	carbapenem
ARO:3003640	OXA-483	OXA-483	OXA beta-lactamase;OXA-23-like beta-lactamase	antibiotic inactivation	penicillin beta-lactam	penicillin antibiotic
ARO:3003641	OXA-484	OXA-484	OXA beta-lactamase;OXA-48-like beta-lactamase	antibiotic inactivation	carbapenem	carbapenem
ARO:3003641	OXA-484	OXA-484	OXA beta-lactamase;OXA-48-like beta-lactamase	antibiotic inactivation	penicillin beta-lactam	penicillin antibiotic
ARO:3003642	OXA-485	OXA-485	OXA beta-lactamase;OXA-50-like beta-lactamase	antibiotic inactivation	penicillin beta-lactam	penicillin antibiotic
ARO:3003643	OXA-486	OXA-486	OXA beta-lactamase;OXA-50-like beta-lactamase	antibiotic inactivation	penicillin beta-lactam	penicillin antibiotic
ARO:3003645	OXA-488	OXA-488	OXA beta-lactamase;OXA-50-like beta-lactamase	antibiotic inactivation	penicillin beta-lactam	penicillin antibiotic
ARO:3005724	OXA-489	OXA-489	OXA beta-lactamase;OXA-61-like beta-lactamase	antibiotic inactivation	penicillin beta-lactam	penicillin antibiotic
ARO:3001671	OXA-49	OXA-49	OXA beta-lactamase;OXA-23-like beta-lactamase	antibiotic inactivation	carbapenem	carbapenem
ARO:3001671	OXA-49	OXA-49	OXA beta-lactamase;OXA-23-like beta-lactamase	antibiotic inactivation	penicillin beta-lactam	penicillin antibiotic
ARO:3005725	OXA-491	OXA-491	OXA beta-lactamase	antibiotic inactivation	penicillin beta-lactam	penicillin antibiotic
ARO:3005726	OXA-493	OXA-493	OXA beta-lactamase;OXA-493-like beta-lactamase	antibiotic inactivation	penicillin beta-lactam	penicillin antibiotic
ARO:3005727	OXA-494	OXA-494	OXA beta-lactamase;OXA-50-like beta-lactamase	antibiotic inactivation	penicillin beta-lactam	penicillin antibiotic
ARO:3005335	OXA-496	OXA-496	OXA beta-lactamase;OXA-134-like beta-lactamase	antibiotic inactivation	carbapenem	carbapenem
