gene_name	accession	element_type	ncbi_class_raw	ncbi_subclass_raw	canonical_class_token	canonical_drug_token
tetA(58)	WP_071223303.1	AMR	TETRACYCLINE	TETRACYCLINE	tetracycline	tetracycline
tetA(60)	WP_100931730.1	AMR	TETRACYCLINE	TETRACYCLINE	tetracycline	tetracycline
tetA(60)	WP_289811734.1	AMR	TETRACYCLINE	TETRACYCLINE	tetracycline	tetracycline
tetA(P)	WP_012478244.1	AMR	TETRACYCLINE	TETRACYCLINE	tetracycline	tetracycline
tetA(P)	WP_003479690.1	AMR	TETRACYCLINE	TETRACYCLINE	tetracycline	tetracycline
tetA(P)	WP_006440994.1	AMR	TETRACYCLINE	TETRACYCLINE	tetracycline	tetracycline
tetA	WP_011116969.1	AMR	TETRACYCLINE	TETRACYCLINE	tetracycline	tetracycline
tetB(46)	WP_048717443.1	AMR	TETRACYCLINE	TETRACYCLINE	tetracycline	tetracycline
tetB(58)	WP_071223302.1	AMR	TETRACYCLINE	TETRACYCLINE	tetracycline	tetracycline
tetB(60)	WP_049554487.1	AMR	TETRACYCLINE	TETRACYCLINE	tetracycline	tetracycline
tetB(60)	WP_289811733.1	AMR	TETRACYCLINE	TETRACYCLINE	tetracycline	tetracycline
tetB(P)	WP_012478245.1	AMR	TETRACYCLINE	TETRACYCLINE	tetracycline	tetracycline
tetB	WP_011116970.1	AMR	TETRACYCLINE	TETRACYCLINE	tetracycline	tetracycline
