gene_name	accession	element_type	ncbi_class_raw	ncbi_subclass_raw	canonical_class_token	canonical_drug_token
tet(M)	WP_063856394.1	AMR	TETRACYCLINE	TETRACYCLINE	tetracycline	tetracycline
tet(M)	WP_000691746.1	AMR	TETRACYCLINE	TETRACYCLINE	tetracycline	tetracycline
tet(M)	WP_001574275.1	AMR	TETRACYCLINE	TETRACYCLINE	tetracycline	tetracycline
tet(M)	WP_063856395.1	AMR	TETRACYCLINE	TETRACYCLINE	tetracycline	tetracycline
tet(M)	WP_002414694.1	AMR	TETRACYCLINE	TETRACYCLINE	tetracycline	tetracycline
tet(M)	WP_063856396.1	AMR	TETRACYCLINE	TETRACYCLINE	tetracycline	tetracycline
tet(M)	WP_063856397.1	AMR	TETRACYCLINE	TETRACYCLINE	tetracycline	tetracycline
tet(M)	WP_041160408.1	AMR	TETRACYCLINE	TETRACYCLINE	tetracycline	tetracycline
tet(M)	WP_063856398.1	AMR	TETRACYCLINE	TETRACYCLINE	tetracycline	tetracycline
tet(M)	WP_063856399.1	AMR	TETRACYCLINE	TETRACYCLINE	tetracycline	tetracycline
tet(M)	WP_063856400.1	AMR	TETRACYCLINE	TETRACYCLINE	tetracycline	tetracycline
tet(M)	WP_014386813.1	AMR	TETRACYCLINE	TETRACYCLINE	tetracycline	tetracycline
tet(M)	WP_011860841.1	AMR	TETRACYCLINE	TETRACYCLINE	tetracycline	tetracycline
tet(M)	WP_043029018.1	AMR	TETRACYCLINE	TETRACYCLINE	tetracycline	tetracycline
tet(M)	WP_063856401.1	AMR	TETRACYCLINE	TETRACYCLINE	tetracycline	tetracycline
tet(M)	WP_050232631.1	AMR	TETRACYCLINE	TETRACYCLINE	tetracycline	tetracycline
tet(M)	WP_002364936.1	AMR	TETRACYCLINE	TETRACYCLINE	tetracycline	tetracycline
tet(M)	WP_063856402.1	AMR	TETRACYCLINE	TETRACYCLINE	tetracycline	tetracycline
tet(M)	WP_024052575.1	AMR	TETRACYCLINE	TETRACYCLINE	tetracycline	tetracycline
tet(M)	WP_000691727.1	AMR	TETRACYCLINE	TETRACYCLINE	tetracycline	tetracycline
tet(M)	WP_063856403.1	AMR	TETRACYCLINE	TETRACYCLINE	tetracycline	tetracycline
tet(M)	WP_000691737.1	AMR	TETRACYCLINE	TETRACYCLINE	tetracycline	tetracycline
tet(M)	WP_000691741.1	AMR	TETRACYCLINE	TETRACYCLINE	tetracycline	tetracycline
tet(O)	WP_044666383.1	AMR	TETRACYCLINE	TETRACYCLINE	tetracycline	tetracycline
tet(O)	WP_000691759.1	AMR	TETRACYCLINE	TETRACYCLINE	tetracycline	tetracycline
tet(O)	WP_032490535.1	AMR	TETRACYCLINE	TETRACYCLINE	tetracycline	tetracycline
tet(O)	WP_002779752.1	AMR	TETRACYCLINE	TETRACYCLINE	tetracycline	tetracycline
tet(O)	WP_050824634.1	AMR	TETRACYCLINE	TETRACYCLINE	tetracycline	tetracycline
tet(O)	WP_011187228.1	AMR	TETRACYCLINE	TETRACYCLINE	tetracycline	tetracycline
tet(O)	WP_063856404.1	AMR	TETRACYCLINE	TETRACYCLINE	tetracycline	tetracycline
tet(O)	WP_063856405.1	AMR	TETRACYCLINE	TETRACYCLINE	tetracycline	tetracycline
tet(O)	WP_002909882.1	AMR	TETRACYCLINE	TETRACYCLINE	tetracycline	tetracycline
tet(O)	WP_012669445.1	AMR	TETRACYCLINE	TETRACYCLINE	tetracycline	tetracycline
tet(O)	WP_063856406.1	AMR	TETRACYCLINE	TETRACYCLINE	tetracycline	tetracycline
tet(O)	WP_012775603.1	AMR	TETRACYCLINE	TETRACYCLINE	tetracycline	tetracycline
tet(O)	WP_014636291.1	AMR	TETRACYCLINE	TETRACYCLINE	tetracycline	tetracycline
tet(O/32/O)	WP_015573056.1	AMR	TETRACYCLINE	TETRACYCLINE	tetracycline	tetracycline
tet(O/M/O)	WP_002872163.1	AMR	TETRACYCLINE	TETRACYCLINE	tetracycline	tetracycline
tet(O/W)	WP_204313008.1	AMR	TETRACYCLINE	TETRACYCLINE	tetracycline	tetracycline
tet(O/W/32/O)	WP_063856419.1	AMR	TETRACYCLINE	TETRACYCLINE	tetracycline	tetracycline
tet(O/W/32/O)	WP_063856420.1	AMR	TETRACYCLINE	TETRACYCLINE	tetracycline	tetracycline
tet(O/W/32/O)	WP_013646121.1	AMR	TETRACYCLINE	TETRACYCLINE	tetracycline	tetracycline
tet(O/W/O)	WP_054336482.1	AMR	TETRACYCLINE	TETRACYCLINE	tetracycline	tetracycline
tet(O/W/O)	WP_063856421.1	AMR	TETRACYCLINE	TETRACYCLINE	tetracycline	tetracycline
tet(Q)	WP_004293868.1	AMR	TETRACYCLINE	TETRACYCLINE	tetracycline	tetracycline
tet(Q)	WP_002560998.1	AMR	TETRACYCLINE	TETRACYCLINE	tetracycline	tetracycline
tet(Q)	WP_063856407.1	AMR	TETRACYCLINE	TETRACYCLINE	tetracycline	tetracycline
tet(Q)	WP_063856408.1	AMR	TETRACYCLINE	TETRACYCLINE	tetracycline	tetracycline
tet(Q)	WP_063856409.1	AMR	TETRACYCLINE	TETRACYCLINE	tetracycline	tetracycline
tet(S)	WP_000691722.1	AMR	TETRACYCLINE	TETRACYCLINE	tetracycline	tetracycline
tet(S)	WP_109544237.1	AMR	TETRACYCLINE	TETRACYCLINE	tetracycline	tetracycline
tet(S)	WP_063856411.1	AMR	TETRACYCLINE	TETRACYCLINE	tetracycline	tetracycline
tet(T)	WP_063856412.1	AMR	TETRACYCLINE	TETRACYCLINE	tetracycline	tetracycline
tet(T)	WP_063856413.1	AMR	TETRACYCLINE	TETRACYCLINE	tetracycline	tetracycline
tet(V)	WP_003896589.1	AMR	TETRACYCLINE	TETRACYCLINE	tetracycline	tetracycline
tet(W)	WP_002586627.1	AMR	TETRACYCLINE	TETRACYCLINE	tetracycline	tetracycline
tet(W)	WP_063856414.1	AMR	TETRACYCLINE	TETRACYCLINE	tetracycline	tetracycline
tet(W)	WP_014078528.1	AMR	TETRACYCLINE	TETRACYCLINE	tetracycline	tetracycline
tet(W)	WP_063856415.1	AMR	TETRACYCLINE	TETRACYCLINE	tetracycline	tetracycline
tet(W)	WP_063856416.1	AMR	TETRACYCLINE	TETRACYCLINE	tetracycline	tetracycline
tet(W)	WP_009305318.1	AMR	TETRACYCLINE	TETRACYCLINE	tetracycline	tetracycline
tet(W)	WP_063856417.1	AMR	TETRACYCLINE	TETRACYCLINE	tetracycline	tetracycline
tet(W)	WP_063856418.1	AMR	TETRACYCLINE	TETRACYCLINE	tetracycline	tetracycline
tet(W)	WP_000691721.1	AMR	TETRACYCLINE	TETRACYCLINE	tetracycline	tetracycline
tet(W)	WP_063856422.1	AMR	TETRACYCLINE	TETRACYCLINE	tetracycline	tetracycline
tet(W)	WP_003672618.1	AMR	TETRACYCLINE	TETRACYCLINE	tetracycline	tetracycline
tet(W)	WP_063856423.1	AMR	TETRACYCLINE	TETRACYCLINE	tetracycline	tetracycline
tet(W)	WP_063856424.1	AMR	TETRACYCLINE	TETRACYCLINE	tetracycline	tetracycline
tet(W)	WP_033493020.1	AMR	TETRACYCLINE	TETRACYCLINE	tetracycline	tetracycline
tet(W)	WP_004217777.1	AMR	TETRACYCLINE	TETRACYCLINE	tetracycline	tetracycline
tet(W)	WP_063856425.1	AMR	TETRACYCLINE	TETRACYCLINE	tetracycline	tetracycline
tet(W)	WP_052543100.1	AMR	TETRACYCLINE	TETRACYCLINE	tetracycline	tetracycline
tet(W)	WP_050618045.1	AMR	TETRACYCLINE	TETRACYCLINE	tetracycline	tetracycline
tet(W)	WP_011526261.1	AMR	TETRACYCLINE	TETRACYCLINE	tetracycline	tetracycline
tet(W/32/O)	WP_204313011.1	AMR	TETRACYCLINE	TETRACYCLINE	tetracycline	tetracycline
tet(W/N/W)	WP_024963478.1	AMR	TETRACYCLINE	TETRACYCLINE	tetracycline	tetracycline
tet(W/N/W)	WP_122634437.1	AMR	TETRACYCLINE	TETRACYCLINE	tetracycline	tetracycline
tet(X1)	WP_204376222.1	AMR	TETRACYCLINE	TETRACYCLINE	tetracycline	tetracycline
tet(X2)	WP_063856436.1	AMR	TETRACYCLINE	TIGECYCLINE	tetracycline	tigecycline
tet(X2)	WP_008651082.1	AMR	TETRACYCLINE	TIGECYCLINE	tetracycline	tigecycline
tet(X2)	WP_015060600.1	AMR	TETRACYCLINE	TIGECYCLINE	tetracycline	tigecycline
tet(X3)	WP_015060917.1	AMR	TETRACYCLINE	TIGECYCLINE	tetracycline	tigecycline
tet(X3)	WP_024160783.1	AMR	TETRACYCLINE	TIGECYCLINE	tetracycline	tigecycline
tet(X4)	WP_094309310.1	AMR	TETRACYCLINE	TIGECYCLINE	tetracycline	tigecycline
tet(X5)	WP_063856444.1	AMR	TETRACYCLINE	TIGECYCLINE	tetracycline	tigecycline
tet(X5)	WP_150378267.1	AMR	TETRACYCLINE	TIGECYCLINE	tetracycline	tigecycline
tet(Y)	WP_011931119.1	AMR	TETRACYCLINE	TETRACYCLINE	tetracycline	tetracycline
tet(Y)	WP_063856459.1	AMR	TETRACYCLINE	TETRACYCLINE	tetracycline	tetracycline
tet(Z)	WP_064190967.1	AMR	TETRACYCLINE	TETRACYCLINE	tetracycline	tetracycline
tetA(46)	WP_063856469.1	AMR	TETRACYCLINE	TETRACYCLINE	tetracycline	tetracycline
