canonical_drug	drug_aro_accession	canonical_class	class_aro_accession	source
tetroxoprim	ARO:3000284	diaminopyrimidine antibiotic	ARO:3000171	aro_obo
trimethoprim	ARO:3000188	diaminopyrimidine antibiotic	ARO:3000171	aro_obo
bedaquiline	ARO:3004492	diarylquinoline antibiotic	ARO:3004491	aro_obo
acriflavine	ARO:0000045	disinfecting agents and antiseptics	ARO:3005386	aro_obo
benzalkonium chloride	ARO:3003823	disinfecting agents and antiseptics	ARO:3005386	aro_obo
chlorhexidine	ARO:3007039	disinfecting agents and antiseptics	ARO:3005386	aro_obo
proflavine	ARO:3007532	disinfecting agents and antiseptics	ARO:3005386	aro_obo
thiacalixarene derivatives	ARO:3005174	disinfecting agents and antiseptics	ARO:3005386	aro_obo
triclosan	ARO:3000870	disinfecting agents and antiseptics	ARO:3005386	aro_obo
amythiamicin a	ARO:3001260	elfamycin antibiotic	ARO:3001219	aro_obo
aurodox	ARO:3001235	elfamycin antibiotic	ARO:3001219	aro_obo
azimycin	ARO:3001247	elfamycin antibiotic	ARO:3001219	aro_obo
cyclic thiazolyl peptide elfamycin	ARO:3001309	elfamycin antibiotic	ARO:3001219	aro_obo
dihydromocimycin	ARO:3001248	elfamycin antibiotic	ARO:3001219	aro_obo
efrotomycin	ARO:3001236	elfamycin antibiotic	ARO:3001219	aro_obo
enacyloxin iia	ARO:3001242	elfamycin antibiotic	ARO:3001219	aro_obo
factumycin	ARO:3001220	elfamycin antibiotic	ARO:3001219	aro_obo
ganefromycin	ARO:3001326	elfamycin antibiotic	ARO:3001219	aro_obo
ge2270a	ARO:3001237	elfamycin antibiotic	ARO:3001219	aro_obo
ge37468	ARO:3001259	elfamycin antibiotic	ARO:3001219	aro_obo
heneicomycin	ARO:3001264	elfamycin antibiotic	ARO:3001219	aro_obo
kirromycin	ARO:3001234	elfamycin antibiotic	ARO:3001219	aro_obo
kirromycin-like antibiotics	ARO:3001310	elfamycin antibiotic	ARO:3001219	aro_obo
kirrothricin	ARO:3001246	elfamycin antibiotic	ARO:3001219	aro_obo
l-681,217	ARO:3001258	elfamycin antibiotic	ARO:3001219	aro_obo
lff571	ARO:3003414	elfamycin antibiotic	ARO:3001219	aro_obo
phenelfamycin a	ARO:3001249	elfamycin antibiotic	ARO:3001219	aro_obo
phenelfamycin b	ARO:3001250	elfamycin antibiotic	ARO:3001219	aro_obo
phenelfamycin c	ARO:3001251	elfamycin antibiotic	ARO:3001219	aro_obo
phenelfamycin d	ARO:3001252	elfamycin antibiotic	ARO:3001219	aro_obo
phenelfamycin e	ARO:3001253	elfamycin antibiotic	ARO:3001219	aro_obo
phenelfamycin f	ARO:3001256	elfamycin antibiotic	ARO:3001219	aro_obo
phenelfamycin g	ARO:3001322	elfamycin antibiotic	ARO:3001219	aro_obo
phenelfamycin h	ARO:3001323	elfamycin antibiotic	ARO:3001219	aro_obo
pulvomycin	ARO:3000586	elfamycin antibiotic	ARO:3001219	aro_obo
sb22484	ARO:3001320	elfamycin antibiotic	ARO:3001219	aro_obo
uk-69,753	ARO:3001321	elfamycin antibiotic	ARO:3001219	aro_obo
unphenelfamycin	ARO:3001257	elfamycin antibiotic	ARO:3001219	aro_obo
balofloxacin	ARO:3004130	fluoroquinolone antibiotic	ARO:0000001	aro_obo
cinoxacin	ARO:3004010	fluoroquinolone antibiotic	ARO:0000001	aro_obo
ciprofloxacin	ARO:0000036	fluoroquinolone antibiotic	ARO:0000001	aro_obo
clinafloxacin	ARO:3004011	fluoroquinolone antibiotic	ARO:0000001	aro_obo
clofazimine	ARO:3004012	fluoroquinolone antibiotic	ARO:0000001	aro_obo
delafloxacin	ARO:3004462	fluoroquinolone antibiotic	ARO:0000001	aro_obo
enoxacin	ARO:0000023	fluoroquinolone antibiotic	ARO:0000001	aro_obo
enrofloxacin	ARO:3007045	fluoroquinolone antibiotic	ARO:0000001	aro_obo
finafloxacin	ARO:3004732	fluoroquinolone antibiotic	ARO:0000001	aro_obo
fleroxacin	ARO:3004013	fluoroquinolone antibiotic	ARO:0000001	aro_obo
flumequine	ARO:3007521	fluoroquinolone antibiotic	ARO:0000001	aro_obo
gatifloxacin	ARO:3000659	fluoroquinolone antibiotic	ARO:0000001	aro_obo
gemifloxacin	ARO:3007165	fluoroquinolone antibiotic	ARO:0000001	aro_obo
grepafloxacin	ARO:3000665	fluoroquinolone antibiotic	ARO:0000001	aro_obo
lascufloxacin	ARO:3007024	fluoroquinolone antibiotic	ARO:0000001	aro_obo
levofloxacin	ARO:0000071	fluoroquinolone antibiotic	ARO:0000001	aro_obo
levonadifloxacin	ARO:3005120	fluoroquinolone antibiotic	ARO:0000001	aro_obo
lomefloxacin	ARO:3000660	fluoroquinolone antibiotic	ARO:0000001	aro_obo
marbofloxacin	ARO:3007046	fluoroquinolone antibiotic	ARO:0000001	aro_obo
