canonical_drug	canonical_class	aro_accession	category	source
nemonoxacin	fluoroquinolone antibiotic	ARO:0000001	antibiotic	aro_obo
norfloxacin	fluoroquinolone antibiotic	ARO:0000001	antibiotic	aro_obo
ofloxacin	fluoroquinolone antibiotic	ARO:0000001	antibiotic	curated
pefloxacin	fluoroquinolone antibiotic	ARO:0000001	antibiotic	aro_obo
prulifloxacin	fluoroquinolone antibiotic	ARO:0000001	antibiotic	aro_obo
sarafloxacin	fluoroquinolone antibiotic	ARO:0000001	antibiotic	aro_obo
sitafloxacin	fluoroquinolone antibiotic	ARO:0000001	antibiotic	aro_obo
sparfloxacin	fluoroquinolone antibiotic	ARO:0000001	antibiotic	aro_obo
tosufloxacin	fluoroquinolone antibiotic	ARO:0000001	antibiotic	aro_obo
trovafloxacin	fluoroquinolone antibiotic	ARO:0000001	antibiotic	aro_obo
zabofloxacin	fluoroquinolone antibiotic	ARO:0000001	antibiotic	aro_obo
fusidic acid	fusidane antibiotic	ARO:3007153	antibiotic	resfinder
antibiotic a40926	glycopeptide antibiotic	ARO:3000081	antibiotic	aro_obo
antibiotic a47934	glycopeptide antibiotic	ARO:3000081	antibiotic	aro_obo
avoparcin	glycopeptide antibiotic	ARO:3000081	antibiotic	aro_obo
balhimycin	glycopeptide antibiotic	ARO:3000081	antibiotic	aro_obo
bleomycin	glycopeptide antibiotic	ARO:3000081	antibiotic	resfinder
cbp c1-aminomethylene vancomycin	glycopeptide antibiotic	ARO:3000081	antibiotic	aro_obo
chloroeremomycin	glycopeptide antibiotic	ARO:3000081	antibiotic	aro_obo
complestatin	glycopeptide antibiotic	ARO:3000081	antibiotic	aro_obo
corbomycin	glycopeptide antibiotic	ARO:3000081	antibiotic	aro_obo
dalbavancin	glycopeptide antibiotic	ARO:3000081	antibiotic	aro_obo
eremomycin pyrrolidide	glycopeptide antibiotic	ARO:3000081	antibiotic	aro_obo
norvancomycin	glycopeptide antibiotic	ARO:3000081	antibiotic	aro_obo
oritavancin	glycopeptide antibiotic	ARO:3000081	antibiotic	aro_obo
ristocetin	glycopeptide antibiotic	ARO:3000081	antibiotic	aro_obo
teicoplanin	glycopeptide antibiotic	ARO:3000081	antibiotic	resfinder
telavancin	glycopeptide antibiotic	ARO:3000081	antibiotic	aro_obo
vancomycin	glycopeptide antibiotic	ARO:3000081	antibiotic	resfinder
tigecycline	glycylcycline	ARO:0000042	antibiotic	aro_obo
calcimycin	ionophore with antibiotic activity		veterinary_ionophore	aro_obo
